detection_id,_time,severity,title,host,user,process_name,reason,expected_decision,note
ATD-005-00676,2026-08-04T12:01:35Z,low,PowerShell Review,APP-API-02,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00161,2026-08-04T12:11:55Z,low,Failed WinRM Review,ADMIN-WS-07,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00346,2026-08-04T12:27:15Z,low,PowerShell Review,WEB-EDGE-01,ACME\admin.rpatel,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00683,2026-08-04T12:32:52Z,medium,Rare Domain Review,WEB-EDGE-01,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00958,2026-08-04T12:51:15Z,low,PowerShell Review,APP-API-02,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01448,2026-08-04T13:12:06Z,low,New Service Review,ADMIN-WS-07,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00649,2026-08-04T13:32:31Z,medium,New Service Review,FILE-01,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01137,2026-08-04T13:32:53Z,medium,PowerShell Review,FILE-01,ACME\admin.jlee,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01398,2026-08-04T13:35:01Z,low,PowerShell Review,ADMIN-WS-11,ACME\svc_deploy,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00626,2026-08-04T13:36:18Z,low,New Service Review,WEB-EDGE-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01479,2026-08-04T13:38:50Z,low,New Service Review,ADMIN-WS-11,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00147,2026-08-04T13:42:03Z,low,New Service Review,WEB-EDGE-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00742,2026-08-04T13:42:15Z,low,New Service Review,ADMIN-WS-07,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00154,2026-08-04T13:42:28Z,low,Rare Domain Review,FILE-01,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00035,2026-08-04T13:42:29Z,low,PowerShell Review,APP-API-02,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00961,2026-08-04T13:58:06Z,medium,PowerShell Review,FILE-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00456,2026-08-04T14:10:28Z,low,New Service Review,ADMIN-WS-11,NT AUTHORITY\SYSTEM,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00605,2026-08-04T14:14:15Z,low,PowerShell Review,DEPLOY-01,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00535,2026-08-04T14:16:08Z,low,Rare Domain Review,ADMIN-WS-11,ACME\admin.jlee,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-006,2026-08-04T14:17:12Z,medium,Approved PowerShell Deployment,APP-API-02,ACME\svc_deploy,powershell.exe,PowerShell from approved deployment source,context,Benign look-alike
ATD-005-01126,2026-08-04T14:22:24Z,low,PowerShell Review,VULN-SCAN-01,NT AUTHORITY\SYSTEM,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00240,2026-08-04T14:35:03Z,low,Rare Domain Review,WEB-EDGE-01,ACME\svc_backup,powershell.exe,Contextual review event,context,Not every detection should escalate
ATD-005-01463,2026-08-04T14:43:46Z,medium,Rare Domain Review,WEB-EDGE-01,ACME\svc_backup,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00810,2026-08-04T14:43:47Z,low,PowerShell Review,FILE-01,ACME\admin.rpatel,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00140,2026-08-04T14:55:43Z,medium,Rare Domain Review,FILE-01,ACME\admin.rpatel,sc.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00895,2026-08-04T14:57:29Z,medium,PowerShell Review,FILE-01,NT AUTHORITY\SYSTEM,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00361,2026-08-04T15:02:22Z,low,Rare Domain Review,VULN-SCAN-01,ACME\svc_backup,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00667,2026-08-04T15:02:55Z,medium,Failed WinRM Review,ADMIN-WS-11,ACME\svc_deploy,rundll32.exe,Contextual review event,context,Not every detection should escalate
ATD-005-00833,2026-08-04T15:07:41Z,low,Rare Domain Review,VULN-SCAN-01,ACME\admin.jlee,rundll32.exe,Contextual review event,context,Not every detection should escalate
