detection_id,_time,severity,title,host,user,expected_decision,note
ATD-006-00785,2026-08-11T13:01:30Z,medium,Failed Remote Auth Review,FILE-02,ACME\svc_deploy,context,background detection
ATD-006-00590,2026-08-11T13:33:43Z,medium,Failed Remote Auth Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-01196,2026-08-11T13:35:05Z,low,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01195,2026-08-11T13:37:05Z,medium,PowerShell Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00458,2026-08-11T13:45:09Z,low,New File Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-01221,2026-08-11T13:48:52Z,low,PowerShell Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-00136,2026-08-11T13:53:44Z,low,PowerShell Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00588,2026-08-11T14:09:31Z,medium,PowerShell Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-00335,2026-08-11T14:15:03Z,medium,New File Review,FIN-WS-14,ACME\svc_backup,context,background detection
ATD-006-01238,2026-08-11T14:26:22Z,medium,New File Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01147,2026-08-11T14:29:42Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00048,2026-08-11T14:30:17Z,medium,New File Review,APP-API-02,ACME\mrivera,context,background detection
ATD-006-00570,2026-08-11T14:31:05Z,low,PowerShell Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00969,2026-08-11T14:33:56Z,low,PowerShell Review,APP-API-03,ACME\svc_backup,context,background detection
ATD-006-00852,2026-08-11T14:36:06Z,low,PowerShell Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00380,2026-08-11T14:37:56Z,low,New File Review,FIN-WS-14,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00558,2026-08-11T14:40:54Z,low,PowerShell Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00466,2026-08-11T14:47:37Z,medium,Failed Remote Auth Review,DEPLOY-01,ACME\svc_backup,context,background detection
ATD-006-00604,2026-08-11T14:58:33Z,low,Failed Remote Auth Review,DEPLOY-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01236,2026-08-11T15:07:23Z,low,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00088,2026-08-11T15:08:05Z,low,PowerShell Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00550,2026-08-11T15:08:59Z,medium,PowerShell Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01006,2026-08-11T15:13:27Z,low,New File Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-01396,2026-08-11T15:17:07Z,low,Failed Remote Auth Review,FIN-WS-14,ACME\mrivera,context,background detection
ATD-006-005,2026-08-11T15:18:00Z,critical,Known Compromise on FIN-WS-14,FIN-WS-14,ACME\mrivera,confirmed,source host already confirmed
ATD-006-001,2026-08-11T15:23:00Z,high,WinRM Attempt from Confirmed Compromised Host,APP-API-02,ACME\mrivera,scope,failed auth; destination not confirmed compromised
ATD-006-002,2026-08-11T15:23:18Z,high,Second WinRM Attempt from Confirmed Compromised Host,APP-API-03,ACME\mrivera,scope,failed auth
ATD-006-003,2026-08-11T15:25:00Z,medium,Successful WinRM to APP-API-02,APP-API-02,ACME\svc_deploy,context,approved deployment
ATD-006-01213,2026-08-11T15:28:03Z,low,New File Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-01143,2026-08-11T15:30:03Z,medium,New File Review,FIN-WS-14,ACME\svc_deploy,context,background detection
ATD-006-004,2026-08-11T15:35:00Z,medium,Interactive Admin on Scoped Host,APP-API-02,ACME\jsmith,response,authorized responder
ATD-006-00428,2026-08-11T15:40:08Z,low,New File Review,FILE-02,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00934,2026-08-11T15:44:03Z,low,Failed Remote Auth Review,JUMP-01,ACME\svc_deploy,context,background detection
ATD-006-00640,2026-08-11T16:03:15Z,low,PowerShell Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00915,2026-08-11T16:05:49Z,low,PowerShell Review,JUMP-01,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-01285,2026-08-11T16:16:39Z,low,PowerShell Review,DEPLOY-01,ACME\jsmith,context,background detection
ATD-006-00545,2026-08-11T16:33:38Z,medium,New File Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-01070,2026-08-11T16:39:19Z,medium,Failed Remote Auth Review,APP-API-03,ACME\jsmith,context,background detection
ATD-006-01415,2026-08-11T16:39:46Z,medium,PowerShell Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00151,2026-08-11T16:44:59Z,low,PowerShell Review,FILE-02,ACME\svc_backup,context,background detection
ATD-006-00434,2026-08-11T16:48:30Z,medium,Failed Remote Auth Review,JUMP-01,ACME\svc_backup,context,background detection
ATD-006-01364,2026-08-11T16:52:01Z,low,Failed Remote Auth Review,FIN-WS-14,ACME\jsmith,context,background detection
ATD-006-00753,2026-08-11T17:00:19Z,low,Failed Remote Auth Review,FILE-02,ACME\mrivera,context,background detection
ATD-006-00453,2026-08-11T17:04:32Z,medium,New File Review,DEPLOY-01,ACME\svc_deploy,context,background detection
ATD-006-00087,2026-08-11T17:26:59Z,low,Failed Remote Auth Review,APP-API-02,ACME\jsmith,context,background detection
ATD-006-00947,2026-08-11T17:38:40Z,low,PowerShell Review,FILE-02,ACME\jsmith,context,background detection
ATD-006-00778,2026-08-11T17:40:20Z,medium,PowerShell Review,JUMP-01,ACME\jsmith,context,background detection
ATD-006-01445,2026-08-11T17:42:30Z,medium,New File Review,APP-API-03,ACME\mrivera,context,background detection
ATD-006-00671,2026-08-11T17:44:33Z,low,Failed Remote Auth Review,APP-API-03,NT AUTHORITY\SYSTEM,context,background detection
ATD-006-00792,2026-08-11T17:47:15Z,medium,New File Review,FILE-02,ACME\svc_backup,context,background detection
