event_id,_time,host,user,task_name,task_command,schedule,action,source_process,source_process_id,classification,note
TASK-00992,2026-08-04T12:00:43Z,DEPLOY-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,11966,benign,approved scheduled task
TASK-00792,2026-08-04T12:26:14Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,registered,taskeng.exe,8996,benign,approved scheduled task
TASK-00912,2026-08-04T12:54:54Z,ADMIN-WS-11,NT AUTHORITY\SYSTEM,BackupInventory,updater.exe /check,daily,registered,taskeng.exe,8345,benign,approved scheduled task
TASK-01027,2026-08-04T13:02:29Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,11747,benign,approved scheduled task
TASK-00040,2026-08-04T13:08:33Z,APP-API-02,NT AUTHORITY\SYSTEM,WebLogRotation,updater.exe /check,daily,registered,taskeng.exe,8626,benign,approved scheduled task
TASK-00359,2026-08-04T13:09:19Z,ADMIN-WS-07,NT AUTHORITY\SYSTEM,UpdateCheck,backup-agent.exe --inventory,daily,run,taskeng.exe,13758,benign,approved scheduled task
TASK-01155,2026-08-04T13:13:56Z,FILE-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,1746,benign,approved scheduled task
TASK-00655,2026-08-04T13:15:27Z,WEB-EDGE-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,12602,benign,approved scheduled task
TASK-01412,2026-08-04T13:31:52Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,7699,benign,approved scheduled task
TASK-01042,2026-08-04T13:44:39Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,7391,benign,approved scheduled task
TASK-00851,2026-08-04T13:51:54Z,APP-API-02,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,run,taskeng.exe,11722,benign,approved scheduled task
TASK-00626,2026-08-04T13:53:24Z,FILE-01,NT AUTHORITY\SYSTEM,UpdateCheck,updater.exe /check,daily,registered,taskeng.exe,10814,benign,approved scheduled task
TASK-00417,2026-08-04T14:05:14Z,VULN-SCAN-01,NT AUTHORITY\SYSTEM,UpdateCheck,powershell.exe -File C:\Ops\Rotate-Logs.ps1,daily,registered,taskeng.exe,7546,benign,approved scheduled task
TASK-01305,2026-08-04T14:15:42Z,DEPLOY-01,NT AUTHORITY\SYSTEM,WebLogRotation,backup-agent.exe --inventory,daily,registered,taskeng.exe,13374,benign,approved scheduled task
