finding_id,finding_type,host,entity,evidence_summary,expected_decision,expected_confidence,analyst_decision,analyst_confidence,evidence_gap,note
F-00100,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00101,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00102,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00103,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00104,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00105,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00106,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00107,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00108,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00109,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00110,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00111,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00112,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00113,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00114,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00115,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00116,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00117,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00118,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00119,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00120,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00121,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00122,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00123,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00124,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00125,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00126,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00127,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00128,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00129,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00130,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00131,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00132,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00133,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00134,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00135,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00136,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00137,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00138,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00139,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00140,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00141,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00142,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00143,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00144,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00145,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00146,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00147,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00148,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00149,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00150,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00151,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00152,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00153,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00154,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00155,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00156,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00157,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00158,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00159,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00160,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00161,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00162,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00163,context,VULN-SCAN-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00164,context,DEPLOY-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00165,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00166,context,ADMIN-WS-07,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00167,context,FILE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00168,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00169,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00170,context,APP-API-02,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00171,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00172,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00173,context,WEB-EDGE-01,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
F-00174,context,ADMIN-WS-11,routine activity,"Expected source, path, signature, and schedule",context,high,,,,practice row
